day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Finish Time,Win Odds
HV_2007-1-10_1,1,11.0,OBVIOUSLY (CG085),D Whyte,D E Ferraris,117,1134,9,0:57.50,2.9
HV_2007-1-10_1,2,3.0,KEEN FLYER (CB330),F Coetzee,A T Millard,130,1188,5,0:57.80,7
HV_2007-1-10_1,3,8.0,HURRAY HURRAY (CH010),H K Yim,D J Hall,123,1075,2,0:57.90,24
HV_2007-1-10_1,4,9.0,MILLION CHASE (CD132),W M Lai,C S Shum,117,1112,8,0:58.00,10
HV_2007-1-10_1,5,10.0,MASTER YING (CB249),K S Yu,T K Ng,114,1175,1,0:58.10,6.9
HV_2007-1-10_1,6,12.0,RACING SPIRIT (CE105),C K Tong,K W Lui,107,1056,4,0:58.10,5
HV_2007-1-10_1,7,7.0,CHAMPION PIONEER (CG305),M Nunes,A Lee,125,1095,10,0:58.40,81
HV_2007-1-10_1,8,6.0,CARE FREE MIDAS (CH053),Y T Cheng,Y S Tsui,123,1062,3,0:58.40,24
HV_2007-1-10_1,9,1.0,VICTORY WARRIOR (CA338),P H Lo,B K Ng,125,1141,12,0:58.80,23
HV_2007-1-10_1,10,5.0,DRAGON HORSE (CB131),O Doleuze,T W Leung,129,1172,11,0:59.00,14
HV_2007-1-10_1,11,4.0,MOSHI MOSHI (CG255),C Soumillon,J Moore,125,1088,6,0:59.70,14
HV_2007-1-10_1,12,2.0,BOLD CHAMPION (CG127),M W Leung,P F Yiu,125,1040,7,0:59.90,97
HV_2007-1-10_1,WV,,PERFECT SPOT (CG168),A Delpech,P O'Sullivan,130,---,---,---,---
HV_2007-1-10_2,1,12.0,EASY (CG095),Y T Cheng,K W Lui,113,1092,4,0:57.40,59.0
HV_2007-1-10_2,2,3.0,THUNDER FLASH (CG270),B Prebble,D J Hall,130,1052,5,0:57.70,2.3
HV_2007-1-10_2,3,5.0,GOOD TO GO (CH096),D Whyte,D E Ferraris,127,1127,6,0:57.80,4.3
HV_2007-1-10_2,4,7.0,AMO (CB125),G Mosse,Y S Tsui,123,1166,8,0:57.90,37.0
HV_2007-1-10_2,5,6.0,LUCKY STRAVINSKY (CE195),S Dye,C S Shum,126,1077,2,0:58.00,7.7
HV_2007-1-10_2,6,8.0,PLEZAYRE (CG116),C Soumillon,J Moore,121,1083,12,0:58.10,10.0
HV_2007-1-10_2,7,2.0,CLASSA FOR EVER (CD085),O Doleuze,L Ho,131,1099,3,0:58.20,8.4
HV_2007-1-10_2,8,9.0,SURE JOY (CE299),C W Wong,C H Yip,111,1249,7,0:58.20,27.0
HV_2007-1-10_2,9,4.0,FLYING SPRINTER (CD021),H K Yim,T W Leung,127,1223,11,0:58.20,37.0
HV_2007-1-10_2,10,10.0,VICTORY START (CG216),P H Lo,T K Ng,110,1086,10,0:58.40,99.0
HV_2007-1-10_2,11,1.0,FLASHING STAR (CC018),C K Tong,P F Yiu,125,1204,1,0:58.50,12.0
HV_2007-1-10_2,12,11.0,GANBARIA (CE052),W M Lai,D Cruz,112,1142,9,0:58.70,47.0
HV_2007-1-10_3,1,3.0,PIONERO (CD402),D Whyte,C Fownes,129,1123,5,1:41.20,8.1
HV_2007-1-10_3,2,4.0,KINGSTON WINNER (CC024),W M Lai,T K Ng,126,1080,11,1:41.30,27.0
HV_2007-1-10_3,3,2.0,ALL OUR WAY (CE217),O Doleuze,A Schutz,129,1104,6,1:41.60,4.0
HV_2007-1-10_3,4,5.0,BUDDIES SPIRIT (CD042),D Nikolic,P O'Sullivan,125,1078,4,1:41.60,13.0
HV_2007-1-10_3,5,8.0,ALWAYS HAPPY (CE085),C W Wong,K W Lui,117,1180,10,1:41.80,19.0
HV_2007-1-10_3,6,7.0,SUDDEN SPLENDOR (CE251),F Coetzee,Y S Tsui,125,1013,1,1:41.90,7.0
HV_2007-1-10_3,7,11.0,COME HO CHOI (CE082),Y T Cheng,T W Leung,114,1081,3,1:42.10,23.0
HV_2007-1-10_3,8,9.0,KING OF SHAVER (CH041),C Soumillon,J Moore,123,1149,8,1:42.10,12.0
HV_2007-1-10_3,9,12.0,WINWIN COMBO (CB277),M Nunes,K L Man,115,1094,12,1:42.10,39.0
HV_2007-1-10_3,10,1.0,HAPPY GO LAGO (CE310),B Prebble,A S Cruz,131,1202,2,1:42.20,4.0
HV_2007-1-10_3,11,6.0,CHINOOK (CC108),G Mosse,D E Ferraris,125,1181,7,1:42.30,9.8
HV_2007-1-10_3,12,10.0,TABBRIS (CB088),C K Tong,A Lee,111,1189,9,1:42.60,22.0
HV_2007-1-10_4,1,6.0,GREEN IN BLUE (CD117),S Dye,S Woods,125,1040,8,2:19.50,13.0
HV_2007-1-10_4,2,10.0,SPECIFIC SORCEROR (CA321),D Whyte,K W Lui,117,1061,4,2:19.70,10.0
HV_2007-1-10_4,3,8.0,BROWN BEAUTY (CC029),O Doleuze,D Cruz,119,1054,7,2:19.70,7.4
HV_2007-1-10_4,4,9.0,ONE EYE JACK (CD393),G Mosse,A Lee,119,1123,11,2:19.80,12.0
HV_2007-1-10_4,5,5.0,MEATH (CE143),A Delpech,Y S Tsui,127,1053,3,2:19.90,15.0
HV_2007-1-10_4,6,1.0,ELFHELM (CC342),C Soumillon,P F Yiu,130,1105,5,2:20.00,16.0
HV_2007-1-10_4,7,4.0,ELEPHANT DANCE (CA391),W M Lai,T K Ng,125,1141,1,2:20.10,16.0
HV_2007-1-10_4,8,12.0,FEBURO (CE203),F Coetzee,P O'Sullivan,114,951,6,2:20.10,4.1
HV_2007-1-10_4,9,11.0,DURABLE (CE190),C K Tong,C Fownes,108,1082,2,2:20.20,7.3
HV_2007-1-10_4,10,2.0,SILVER MARK (CE226),B Prebble,D J Hall,128,1144,10,2:20.30,5.9
HV_2007-1-10_4,11,3.0,SPACED (CG034),C W Wong,C H Yip,121,1034,12,2:21.30,29.0
HV_2007-1-10_4,12,7.0,PRIMIATA (CG226),Y T Cheng,K L Man,122,1034,9,2:21.50,17.0
HV_2007-1-10_5,1,8.0,DREAM HORSE (CG029),C Soumillon,A S Cruz,121,1173,12,1:40.10,17.0
HV_2007-1-10_5,2,11.0,TOY QUEST (CC036),D Nikolic,C Fownes,118,1162,6,1:40.20,10.0
HV_2007-1-10_5,3,7.0,GALLANT FALCON (CD194),F Coetzee,A T Millard,122,1148,7,1:40.30,13.0
HV_2007-1-10_5,4,1.0,DON RICARDO (CE262),D Whyte,J Size,127,1156,2,1:40.40,2.9
HV_2007-1-10_5,5,2.0,FORTUNE WARRIOR (CD096),M Nunes,T W Leung,126,1055,8,1:40.50,35.0
HV_2007-1-10_5,6,12.0,TRIUMPH (CC214),Y T Cheng,C H Yip,114,1071,4,1:40.70,11.0
