day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Finish Time,Win Odds,Running Position
HV_2008-1-16_1,1,5.0,DIAMOND SUPREME (CH265),G Mosse,A T Millard,123,1070,10,0:57.50,5.3,
HV_2008-1-16_1,2,1.0,CHINA HERO (CH040),A Delpech,Y S Tsui,129,1118,1,0:57.70,5.0,
HV_2008-1-16_1,3,3.0,GAUCHO (CE033),D Whyte,D E Ferraris,126,1177,3,0:57.80,11.0,
HV_2008-1-16_1,4,2.0,CHOICE AND CHANCE (CA381),M W Leung,T W Leung,121,1090,8,0:57.90,19.0,
HV_2008-1-16_1,5,9.0,OCEAN WIDE (CJ132),D Beadman,C Fownes,122,1064,6,0:58.00,4.7,
HV_2008-1-16_1,6,10.0,EXPLODING (CH046),F Coetzee,B K Ng,118,1092,4,0:58.10,3.8,
HV_2008-1-16_1,7,6.0,ACTUARIAL TALENT (CJ028),E Saint-Martin,C S Shum,122,1038,5,0:58.40,9.9,
HV_2008-1-16_1,8,7.0,GRAND GENERAL (CJ113),Z Purton,B K Ng,122,1117,9,0:58.70,37.0,
HV_2008-1-16_1,9,4.0,HAPPY SUNDAY (CE169),K T Yeung,A Lee,118,1112,2,0:58.80,14.0,
HV_2008-1-16_1,10,8.0,MR WUNDERBAR (CJ068),M Nunes,K W Lui,122,1094,7,0:59.40,61.0,
HV_2008-1-16_2,1,2.0,POS TRUMPS (CH295),D Whyte,P O'Sullivan,132,1105,3,1:10.80,3.9,
HV_2008-1-16_2,2,4.0,ASIAN CITRUS (CH246),O Doleuze,D E Ferraris,128,1098,5,1:10.80,8.6,
HV_2008-1-16_2,3,5.0,DIVINE TOUCH (CG291),G Mosse,A Lee,128,1140,4,1:11.10,8.4,
HV_2008-1-16_2,4,9.0,ACTIVE VALOUR (CG045),F Coetzee,B K Ng,119,1040,2,1:11.20,4,
HV_2008-1-16_2,5,8.0,TATTENHALL DELIGHT (CG068),Z Purton,T W Leung,121,1094,10,1:11.20,27,
