day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Finish Time,Win Odds,Running Position
ST_2008-1-12_1,1,6.0,FLORAL JOY II (CJ030),K L Chui,A S Cruz,121,1209,1,0:57.40,3.6,
ST_2008-1-12_1,2,13.0,TREASURE PLANET (CG117),W M Lai,P F Yiu,114,1019,10,0:57.70,8.1,
ST_2008-1-12_1,3,12.0,CLASSIC HORSE (CD378),Z Purton,T W Leung,118,1068,13,0:57.70,8.3,
ST_2008-1-12_1,4,11.0,MAGIC KING (CH182),D Beadman,A Schutz,118,1027,11,0:57.80,15.0,
ST_2008-1-12_1,5,1.0,OWNERS LAD (CG273),E Saint-Martin,C S Shum,132,1213,7,0:57.90,8.9,
ST_2008-1-12_1,6,2.0,JADE DANCER (CE170),S K Sit,D J Hall,126,1157,14,0:58.10,39.0,
ST_2008-1-12_1,7,10.0,SUPER CEE JAY (CG289),P H Lo,Y S Tsui,116,1123,2,0:58.20,39.0,
ST_2008-1-12_1,8,9.0,PEARL HALO (CJ023),G Boss,P O'Sullivan,123,1034,12,0:58.30,4.3,
ST_2008-1-12_1,9,14.0,EXCELLENT PLASTIC (CH263),M W Leung,C H Yip,110,1034,6,0:58.50,99.0,
ST_2008-1-12_1,10,8.0,MASTER OF SHAVERS (CJ026),G Mosse,A Lee,126,1042,4,0:58.60,27.0,
ST_2008-1-12_1,11,7.0,GOLDEN TREASURE (CJ087),O Doleuze,J Size,126,1053,8,0:58.80,14.0,
ST_2008-1-12_1,12,5.0,ELEPHANT STAR (CH323),M Nunes,T K Ng,126,1035,5,0:59.30,60.0,
ST_2008-1-12_1,13,3.0,AIPODER IMAGE (CJ031),H W Lai,L Ho,123,995,9,1:00.00,34.0,
ST_2008-1-12_1,14,4.0,ATTENTIVE RUNNER (CH156),D Whyte,K W Lui,126,1210,3,1:00.40,13.0,
ST_2008-1-12_10,1,1.0,O'REILLY RALLY (CH266),B Prebble,A S Cruz,133,1129,8,1:22.60,2.4,
ST_2008-1-12_10,2,11.0,BE MY SONG (CH272),S K Sit,P F Yiu,115,1196,11,1:22.80,66.0,
ST_2008-1-12_10,3,4.0,ALL TIME HIGH (CG285),K L Chui,A S Cruz,120,1262,4,1:22.90,14.0,
ST_2008-1-12_10,4,9.0,KING PRAWN SUPREME (CJ076),D Whyte,J Size,120,1177,2,1:23.00,4.0,
ST_2008-1-12_10,5,12.0,GOOD PARTNER (CE221),K T Yeung,K L Man,111,1130,6,1:23.00,25.0,
ST_2008-1-12_10,6,13.0,RELY ON ME (CE068),A Delpech,D Cruz,116,1229,5,1:23.10,73.0,
ST_2008-1-12_10,7,5.0,MAGIC SWEEP (CH299),G Boss,D E Ferraris,125,1078,1,1:23.20,13.0,
ST_2008-1-12_10,8,2.0,TRIUMPHANT DIAMOND (CG227),E Saint-Martin,C S Shum,127,1094,9,1:23.30,18.0,
ST_2008-1-12_10,9,10.0,WINBO (CJ085),D Beadman,C H Yip,119,1050,7,1:23.30,8.2,
ST_2008-1-12_10,10,3.0,CAGA BOY (CG060),M Nunes,K W Lui,126,1165,12,1:23.30,28.0,
ST_2008-1-12_10,11,8.0,AMBITIOUS OWNER (CJ106),W M Lai,C S Shum,118,1004,14,1:23.40,99.0,
ST_2008-1-12_10,12,7.0,GOAL KEEPER (CH277),G Mosse,P O'Sullivan,123,1189,13,1:23.60,14.0,
ST_2008-1-12_10,13,6.0,HAPPY GO LUCKY (CH127),O Doleuze,C Fownes,124,1134,10,1:23.80,24.0,
ST_2008-1-12_10,14,14.0,MAGIC TOUCH (CB394),H W Lai,L Ho,112,1135,3,1:24.20,99.0,
ST_2008-1-12_2,1,5.0,SUPER PEGASUS (CH141),D Whyte,D E Ferraris,121,1106,5,1:40.30,2.1,
ST_2008-1-12_2,2,8.0,THREE CLUBS (CG149),M Nunes,J Moore,115,1096,6,1:40.50,3.6,
ST_2008-1-12_2,3,2.0,WADADELIGHT (CC340),O Doleuze,T K Ng,127,1038,3,1:40.70,6.9,
ST_2008-1-12_2,4,1.0,LUCKY CHAMPION (CD178),H W Lai,Y O Wong,126,1101,8,1:41.00,10.0,
ST_2008-1-12_2,5,7.0,KING HESPERUS (CE151),G Boss,D E Ferraris,119,1146,7,1:41.10,14.0,
ST_2008-1-12_2,6,3.0,MAGIC TEMPLE (CC368),A Delpech,S Woods,122,1201,2,1:41.30,8.8,
ST_2008-1-12_2,7,6.0,BODACIOUS (CD170),K L Chui,D J Hall,114,1049,4,1:41.80,38.0,
ST_2008-1-12_2,8,4.0,EVERGREEN (CE106),W M Lai,C H Yip,119,1188,1,1:42.40,71.0,
ST_2008-1-12_3,1,11.0,ISLAND SUNRISE (CE276),K L Chui,A S Cruz,113,1082,13,1:22.00,2.5,
ST_2008-1-12_3,2,4.0,ISTIDE (CJ089),E Saint-Martin,C S Shum,127,953,5,1:22.30,8.3,
ST_2008-1-12_3,3,10.0,JUGGERNAUT (CJ019),M Nunes,S Woods,121,1187,3,1:22.30,84.0,
ST_2008-1-12_3,4,1.0,JOLLY WONGCHOY (CH076),D Whyte,Y O Wong,133,1126,2,1:22.40,7.2,
ST_2008-1-12_3,5,5.0,BOUNCER (CJ074),G Boss,C Fownes,126,1163,1,1:22.70,3.2,
ST_2008-1-12_3,6,9.0,FANTASTIC TIME (CH220),Z Purton,B K Ng,122,1026,8,1:22.70,80.0,
ST_2008-1-12_3,7,8.0,TRIUMPHANT ECHO (CJ006),B Prebble,P O'Sullivan,126,1158,6,1:22.90,15.0,
ST_2008-1-12_3,8,3.0,MY PRIDE (CG017),P H Lo,Y S Tsui,123,1136,14,1:23.00,72.0,
ST_2008-1-12_3,9,2.0,BRILLIANT TREASURE (CH045),A Delpech,J Size,130,1202,12,1:23.10,12.0,
ST_2008-1-12_3,10,14.0,ALWAYS ZIETEN (CB090),H W Lai,L Ho,111,1132,11,1:23.30,67.0,
ST_2008-1-12_3,11,6.0,LITTLE BIG BOY (CJ012),G Mosse,D E Ferraris,126,1122,4,1:23.30,62.0,
ST_2008-1-12_3,12,12.0,KEEP SMILING (CH200),M W Leung,J Moore,112,1180,9,1:23.50,99.0,
ST_2008-1-12_3,13,7.0,OSCAR PRINCE (CJ052),O Doleuze,A Schutz,126,1109,10,1:23.70,41.0,
ST_2008-1-12_3,14,13.0,TELECOM PERFECT (CH121),W M Lai,K W Lui,114,1111,7,1:24.20,99.0,
ST_2008-1-12_4,1,12.0,SILVER WRAITH (CE178),H W Lai,Y S Tsui,119,999,1,1:22.60,11.0,
ST_2008-1-12_4,2,13.0,FILEBO (CE214),Z Purton,T W Leung,120,963,5,1:22.90,22.0,
ST_2008-1-12_4,3,11.0,RAMPANT LION (CH068),D Beadman,C Fownes,122,1013,14,1:23.00,17.0,
ST_2008-1-12_4,4,8.0,NAMJONG SKY (CH129),E Saint-Martin,D J Hall,125,1152,12,1:23.00,11.0,
ST_2008-1-12_4,5,14.0,UNIVERSAL PIONEER (CB293),W M Lai,C S Shum,112,1134,11,1:23.00,50.0,
ST_2008-1-12_4,6,3.0,ABLE STANDARD (CG043),D Whyte,K W Lui,129,1063,3,1:23.00,4.0,
ST_2008-1-12_4,7,5.0,SIMPLY JOY (CH052),B Prebble,C W Chang,128,1063,4,1:23.10,6.2,
ST_2008-1-12_4,8,1.0,PALIO KING (CG073),G Mosse,A Lee,130,1123,8,1:23.30,11.0,
ST_2008-1-12_4,9,2.0,WATCHMAN (CB327),K T Yeung,B K Ng,123,1120,7,1:23.50,36.0,
ST_2008-1-12_4,10,6.0,WITHALLMYHEART (CE268),P H Lo,T K Ng,121,1132,9,1:23.50,6.6,
ST_2008-1-12_4,11,9.0,MACAROON (CG238),O Doleuze,D E Ferraris,124,916,13,1:23.60,40.0,
ST_2008-1-12_4,12,7.0,SUPER RED (CG230),K L Chui,A S Cruz,122,1060,6,1:23.70,23.0,
ST_2008-1-12_4,13,10.0,FAST WINNER (CG140),M W Leung,A Schutz,117,1064,2,1:23.70,12.0,
ST_2008-1-12_4,PU,4.0,GLOBE RIVER (CD228),G Boss,P F Yiu,128,1109,10,---,11.0,
ST_2008-1-12_5,1,12.0,BEAUTIFUL CHOICE (CH130),A Delpech,Y S Tsui,117,1107,6,1:22.50,5.4,
ST_2008-1-12_5,2,1.0,DEERFIELD (CG038),D Whyte,Y O Wong,131,1134,1,1:22.60,2.5,
ST_2008-1-12_5,3,14.0,KA KA SMART (CG042),S K Sit,C W Chang,112,1100,5,1:22.60,15.0,
ST_2008-1-12_5,4,2.0,BUCCANEER (CH214),E Saint-Martin,A Schutz,128,1033,10,1:22.60,9.2,
ST_2008-1-12_5,5,11.0,SHATIN WIN WIN (CE284),W M Lai,P F Yiu,118,1065,7,1:22.80,15.0,
ST_2008-1-12_5,6,13.0,TRIUMPHANT GLORY (CB368),P H Lo,T K Ng,110,1087,2,1:23.10,78.0,
ST_2008-1-12_5,7,4.0,REAL PLEASURE (CJ021),G Mosse,A Lee,126,1200,9,1:23.30,7.4,
ST_2008-1-12_5,8,5.0,MOSHI MOSHI (CG255),D Beadman,J Moore,124,1079,3,1:23.40,5.9,
ST_2008-1-12_5,9,6.0,SURE GAIN (CJ038),M W Leung,C H Yip,119,980,11,1:23.40,99.0,
ST_2008-1-12_5,10,3.0,LOHAN (CH279),Z Purton,B K Ng,126,1073,4,1:23.50,99.0,
ST_2008-1-12_5,11,7.0,WINNING AHEAD (CJ018),M Nunes,A T Millard,124,1092,13,1:23.50,99.0,
ST_2008-1-12_5,12,10.0,HEART TO HEART (CH160),H W Lai,C S Shum,117,1191,14,1:23.60,99.0,
ST_2008-1-12_5,13,9.0,TELECOM SIR (CH217),O Doleuze,S Woods,122,1148,8,1:24.70,63.0,
ST_2008-1-12_5,14,8.0,PRIMIATA (CG226),B Prebble,K L Man,123,1068,12,1:25.90,32.0,
ST_2008-1-12_6,1,7.0,AMAZING CHOICE (CG163),D Whyte,D E Ferraris,121,1033,4,2:03.40,7.3,
ST_2008-1-12_6,2,4.0,ELEPHANT DANCE (CA391),O Doleuze,T K Ng,123,1126,13,2:03.40,26.0,
