day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Running Position,Finish Time,Win Odds
HV_2018-1-10_1,1,4.0,ACTUARIAT (V215),J Moreira,P O'Sullivan,129,1186,1,4 3 1,0:58.06,4.1
HV_2018-1-10_1,2,11.0,CARRY TO WIN (V305),C Schofield,R Gibson,116,1143,10,11 10 2,0:58.07,35.0
HV_2018-1-10_1,3,7.0,TRENDIFUL (S185),W M Lai,C W Chang,125,1180,3,2 4 3,0:58.31,10.0
HV_2018-1-10_1,4,3.0,A FAST ONE (S424),D Whyte,D E Ferraris,130,1115,7,10 9 4,0:58.41,14.0
HV_2018-1-10_1,5,8.0,GLORY HORSIE (M273),Z Purton,M J Freedman,121,1243,5,6 7 5,0:58.44,4.7
HV_2018-1-10_1,6,10.0,KIM GLORY (S087),H T Mo,Y S Tsui,111,1227,6,5 5 6,0:58.45,10.0
HV_2018-1-10_1,7,12.0,KING'S STEED (S051),K Teetan,L Ho,113,1168,4,7 11 7,0:58.45,4.5
HV_2018-1-10_1,8,2.0,RUMINARE (V086),U Rispoli,K L Man,131,1163,8,3 2 8,0:58.56,18.0
HV_2018-1-10_1,9,6.0,RUGBY DIAMOND (S432),C Y Ho,A T Millard,125,1085,2,1 1 9,0:58.58,13.0
HV_2018-1-10_1,10,5.0,WORLD CITY (S019),K C Leung,T P Yung,126,1300,9,9 6 10,0:58.87,44.0
HV_2018-1-10_1,11,1.0,SPARKLING TALENT (T346),N Rawiller,C S Shum,132,1061,11,12 12 11,0:59.01,12.0
HV_2018-1-10_1,12,9.0,HIGHLAND DRAGON (N265),A Badel,A Lee,118,1084,12,8 8 12,0:59.27,56.0
HV_2018-1-10_2,1,2.0,EXCEPTIONAL DESIRE (A142),J Moreira,W Y So,131,1179,3,2 2 1,1:10.33,2.9
HV_2018-1-10_2,2,7.0,NICE FANDANGO (A209),D Whyte,C Fownes,120,1086,7,1 1 2,1:10.34,11.0
HV_2018-1-10_2,3,9.0,FUNNY BUDDIES (T300),K C Leung,P O'Sullivan,115,1053,8,8 8 3,1:10.44,16.0
HV_2018-1-10_2,4,6.0,SHARPMIND (V348),U Rispoli,P F Yiu,121,1008,11,12 12 4,1:10.50,16.0
