day,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Running Position,Finish Time,Win Odds
ST_2018-1-13_1,1,7.0,G-ONE UNION (V276),P-C Boudot,C S Shum,126,1174,14,13 14 12 1,1:22.79,28.0
ST_2018-1-13_1,2,8.0,VICTOR EMPEROR (S425),O Doleuze,C H Yip,126,1152,9,8 8 5 2,1:23.11,9.9
ST_2018-1-13_1,3,1.0,KWAICHUNG BROTHERS (A012),K Teetan,R Gibson,133,1186,1,5 4 4 3,1:23.32,5.8
ST_2018-1-13_1,4,13.0,LAUGHING LORD (T071),U Rispoli,C W Chang,118,1127,4,2 2 2 4,1:23.39,9.1
ST_2018-1-13_1,5,12.0,GOLD TALENT (S113),B Prebble,A Lee,120,1106,8,11 12 11 5,1:23.53,8.1
ST_2018-1-13_1,6,10.0,MAGICAL CHAMPION (A106),N Callan,K L Man,122,1130,7,4 3 3 6,1:23.72,10.0
ST_2018-1-13_1,7,11.0,WONDERFUL CHASER (V258),C Schofield,K W Lui,121,1153,10,9 10 8 7,1:23.73,5.4
ST_2018-1-13_1,8,14.0,SNOWHOOVES (S409),A Sanna,D Cruz,116,1074,6,10 9 13 8,1:23.99,14.0
ST_2018-1-13_1,9,6.0,AGIAAL (N177),M L Yeung,A Lee,124,1115,3,12 11 10 9,1:24.34,48.0
ST_2018-1-13_1,10,2.0,GOBI STORM (A101),M F Poon,A S Cruz,122,1106,11,1 1 1 10,1:24.35,6.6
ST_2018-1-13_1,11,4.0,CELEBRATION (A085),C Y Ho,D E Ferraris,126,1043,5,7 7 9 11,1:24.43,27.0
ST_2018-1-13_1,12,5.0,GREAT TOPLIGHT (T031),D Whyte,C Fownes,127,1102,2,3 5 7 12,1:24.45,13.0
ST_2018-1-13_1,13,9.0,GENERAL O'REILLY (A084),K C Ng,Y S Tsui,121,1102,13,14 13 14 13,1:24.73,182.0
ST_2018-1-13_1,14,3.0,MASSIVE POWER (T339),H T Mo,L Ho,122,1114,12,6 6 6 14,1:24.94,29.0
ST_2018-1-13_10,1,2.0,STAR MAJESTIC (S093),B Prebble,P O'Sullivan,131,1130,2,11 11 10 1,1:22.40,17.0
ST_2018-1-13_10,2,4.0,BULLISH SMART (S221),H T Mo,A S Cruz,120,1143,4,1 1 1 2,1:22.70,5.1
ST_2018-1-13_10,3,13.0,SAM'S LOVE (A088),K Teetan,C H Yip,115,1051,3,7 7 9 3,1:22.75,3.7
ST_2018-1-13_10,4,6.0,TURIN REDSTAR (B092),Z Purton,F C Lor,125,1139,1,8 8 7 4,1:22.77,4.0
ST_2018-1-13_10,5,5.0,HAPPY GUY (A365),N Callan,L Ho,125,1113,9,4 4 4 5,1:22.82,133.0
ST_2018-1-13_10,6,12.0,MERRYGOWIN (V396),C Schofield,P O'Sullivan,115,1097,8,2 2 2 6,1:22.85,6.3
ST_2018-1-13_10,7,1.0,RAGING BLITZKRIEG (B147),S Clipperton,J Size,133,1122,7,3 3 3 7,1:23.01,23.0
ST_2018-1-13_10,8,9.0,SMILING PRIDE (A344),A Sanna,C W Chang,122,1220,10,12 13 12 8,1:23.06,109.0
ST_2018-1-13_10,9,7.0,HARD BALL GET (P373),M F Poon,D J Hall,117,1048,5,5 5 6 9,1:23.07,19.0
ST_2018-1-13_10,10,11.0,GENERAL DINO (A193),D Whyte,D E Ferraris,117,1028,14,9 9 8 10,1:23.20,8.8
ST_2018-1-13_10,11,14.0,TOP SCORE (V357),W M Lai,K W Lui,115,1148,11,10 10 11 11,1:23.60,26.0
ST_2018-1-13_10,12,8.0,RED ROSE WARRIOR (A161),O Doleuze,C Fownes,123,1072,12,14 14 13 12,1:23.77,144.0
ST_2018-1-13_10,13,3.0,WHAMPOA STAR (B146),C Y Ho,Y S Tsui,129,1140,13,13 12 14 13,1:23.99,158.0
ST_2018-1-13_10,14,10.0,FLYING LOVER (B058),M L Yeung,Y S Tsui,119,1061,6,6 6 5 14,1:24.11,158.0
ST_2018-1-13_2,1,2.0,AMBITIOUS HEART (V303),P-C Boudot,D E Ferraris,127,1156,9,3 4 4 1,1:22.65,8.7
ST_2018-1-13_2,2,10.0,ROYALE ELEGANCE (S098),K Teetan,F C Lor,121,1102,4,7 8 7 2,1:22.66,6.1
ST_2018-1-13_2,3,4.0,GOLDEN SLEEP (T117),U Rispoli,C H Yip,131,1184,5,5 5 5 3,1:22.72,23
ST_2018-1-13_2,4,14.0,GAINFULJET (V283),K C Ng,T P Yung,111,1243,6,2 2 2 4,1:22.77,44
ST_2018-1-13_2,5,9.0,I'M A WITNESS (T405),H T Mo,A S Cruz,115,1121,10,1 1 1 5,1:22.85,20
ST_2018-1-13_2,6,6.0,EVER LAUGH (A278),Z Purton,K L Man,124,1136,11,8 9 9 6,1:22.89,3
ST_2018-1-13_2,7,1.0,PRIMERO (A094),M F Poon,J Moore,126,1084,1,4 3 3 7,1:22.89,5.1
ST_2018-1-13_2,8,5.0,SONIC FIGHTER (A187),D Whyte,P O'Sullivan,125,1051,14,9 7 8 8,1:22.90,16
ST_2018-1-13_2,9,3.0,GREAT TREASURE (T380),M L Yeung,A Lee,125,1030,12,13 14 14 9,1:23.16,13
ST_2018-1-13_2,10,12.0,REMARKABLE (A222),C Y Ho,J Size,115,1088,3,14 13 13 10,1:23.17,18
ST_2018-1-13_2,11,11.0,KIWI SUNRISE (A077),C Schofield,C H Yip,118,1100,13,12 10 10 11,1:23.19,47
ST_2018-1-13_2,12,8.0,PRESIDENTPARAMOUNT (S420),M Chadwick,C W Chang,124,1170,7,10 11 12 12,1:23.26,33
ST_2018-1-13_2,13,13.0,MONEY WINNER (A055),W M Lai,Y S Tsui,116,1034,2,11 12 11 13,1:23.32,21
ST_2018-1-13_2,14,7.0,MUTUAL JOY (T282),N Callan,L Ho,124,1083,8,6 6 6 14,1:24.35,91
